,title,company,city,state,website
332,Data Scientist,NA,San Jose,CA,http://indeed.com/rc/clk?jk=cc4a7841253ff332&fccid=be2a48b31ce88228
333,Data Scientist,Arm,San Jose,CA,http://indeed.com/rc/clk?jk=77dfb0ee645f2808&fccid=8ba13cf21fd7c2de
334,Research Technician - Data (CeNCOOS),University-of-Pennsylvania,Philadelphia,PA,http://indeed.com/rc/clk?jk=f3ea9be692748b91&fccid=a8a83c302d848d64
335,"Research Scientist, Analytical",Children's-Hospital-of-Philadelphia,Philadelphia,PA,http://indeed.com/rc/clk?jk=6e4f0f3e2be036be&fccid=0db8b0a95995d1f3
336,Research Scientist (Machine Learning),Jb-Hunt,Lowell,AR,http://indeed.com/rc/clk?jk=1f7934764468b8b8&fccid=c267f29f0f85e8b8
337,Research Technician - Data (CeNCOOS),Match,New York,NY,http://indeed.com/rc/clk?jk=f3ea9be692748b91&fccid=a8a83c302d848d64
338,Data Quality Analyst - Global Data Plaform,NA,New York,NY,http://indeed.com/rc/clk?jk=b9f046d035ecf5cd&fccid=f753bb1a40104d82
339,Data Scientist,Blue-Cross-Blue-Shield,Columbia,SC,http://indeed.com/rc/clk?jk=5df22a7c12368a62&fccid=1fc7fdf0baeeb13b
340,Senior Developer/ Data Scientist,Mitre-Corporation,McLean,VA,"http://indeed.com/company/SMK-Soft,-Inc./jobs/Senior-Developer-7fd60a1e676013fc?fccid=66a0652cd379c60e"
341,IoT Machine Learning Technologist,Brand-Networks,Rochester,NY,http://indeed.com/rc/clk?jk=cacf3053dd9e42d0&fccid=4a9c289ea09906ad
342,IoT Machine Learning Technologist,Nyc-Health-Hospitals,New York,NY,http://indeed.com/rc/clk?jk=91013cdd2cc66791&fccid=0110be8f148b4964
343,STATISTICAL ANALYST A/B,Monterey-Bay-Aquarium-Research-Institute,Moss Landing,CA,http://indeed.com/rc/clk?jk=c08498d4afc67fe3&fccid=ebd944f3c244d667
344,"Research Scientist, Analytical",Children's-Hospital-of-Philadelphia,San Diego,CA,http://indeed.com/rc/clk?jk=6e4f0f3e2be036be&fccid=0db8b0a95995d1f3
345,Research Scientist (Machine Learning),Jb-Hunt,Santa Clara,CA,http://indeed.com/rc/clk?jk=1f7934764468b8b8&fccid=c267f29f0f85e8b8
346,Research Technician - Data (CeNCOOS),Match,Moss Landing,CA,http://indeed.com/rc/clk?jk=f3ea9be692748b91&fccid=a8a83c302d848d64
347,Data Quality Analyst - Global Data Plaform,NA,Oak Brook,IL,http://indeed.com/rc/clk?jk=b9f046d035ecf5cd&fccid=f753bb1a40104d82
348,Data Scientist,Blue-Cross-Blue-Shield,Houston,TX,http://indeed.com/rc/clk?jk=5df22a7c12368a62&fccid=1fc7fdf0baeeb13b
349,Senior Developer/ Data Scientist,Mitre-Corporation,Westchester,IL,"http://indeed.com/company/SMK-Soft,-Inc./jobs/Senior-Developer-7fd60a1e676013fc?fccid=66a0652cd379c60e"
350,IoT Machine Learning Technologist,Brand-Networks,San Jose,CA,http://indeed.com/rc/clk?jk=cacf3053dd9e42d0&fccid=4a9c289ea09906ad
351,IoT Machine Learning Technologist,Nyc-Health-Hospitals,San Jose,CA,http://indeed.com/rc/clk?jk=91013cdd2cc66791&fccid=0110be8f148b4964
352,STATISTICAL ANALYST A/B,Monterey-Bay-Aquarium-Research-Institute,Philadelphia,PA,http://indeed.com/rc/clk?jk=c08498d4afc67fe3&fccid=ebd944f3c244d667
